id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
,#country+name,#country+iso3,#geo+lat,#geo+lon,,,#event+displacement_type,#total,#affected+displaced,#date+displacement,#date+displacement+start,#date+displacement+end,#date+year,,#event+name,,,#date+event+start,#date+event+end,,,#event+type,#event+subtype,,,,,,,,,#date+created,#description,#meta+url,#cause
192435,Sudan,SDN,12.12268,23.34705,"[12.12268, 23.34705]",Recommended figure,Conflict,total,4960,2025-07-29,2025-06-25,2025-07-29,2025,30948,Sudan: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://dtm.iom.int/datasets/dtm-sudan-countrywide-mobility-update-20-bi-weekly,"Central Darfur, Sudan","12.12268, 23.34705",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2025-09-14T10:43:03.821378Z,"Sudan: 4,960 displacements, 25 June - 29 July. A total of 4960 people were displaced due to Non-International Armed Conflict (NIAC) between 25 June and 29 July 2025 in Central Darfur, Sudan, according to IOM Displacement Tracking Matrix (IOM DTM).",https://dtm.iom.int/datasets/dtm-sudan-countrywide-mobility-update-20-bi-weekly,Conflict
192434,Sudan,SDN,14.66715,33.222359,"[14.66715, 33.222359]",Recommended figure,Conflict,total,2705,2025-07-29,2025-06-25,2025-07-29,2025,30948,Sudan: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://dtm.iom.int/datasets/dtm-sudan-countrywide-mobility-update-20-bi-weekly,"Al Jazirah, Sudan","14.66715, 33.222359",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2025-09-14T10:43:03.768572Z,"Sudan: 2,705 displacements, 25 June - 29 July. A total of 2705 people were displaced due to Non-International Armed Conflict (NIAC) between 25 June and 29 July 2025 in Al Jazirah, Sudan, according to IOM Displacement Tracking Matrix (IOM DTM).",https://dtm.iom.int/datasets/dtm-sudan-countrywide-mobility-update-20-bi-weekly,Conflict
187476,Sudan,SDN,11.22641,30.913931,"[11.22641, 30.913931]",Recommended figure,Conflict,total,2400,2025-06-25,2025-05-29,2025-06-25,2025,30948,Sudan: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://dtm.iom.int/sudan,"South Kordofan State, Sudan","11.22641, 30.913931",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2025-07-11T15:24:00.394014Z,"Sudan: 2,400 displacements, 29 May - 25 June. Non-international armed conflict (niac) resulted in a total of 2400 people being displaced in South Kordofan State, Sudan between 29 May and 25 June, according to IOM Displacement Tracking Matrix (IOM DTM).",https://dtm.iom.int/sudan,Conflict
187477,Sudan,SDN,13.51222,22.690571,"[13.51222, 22.690571]",Recommended figure,Conflict,total,7960,2025-06-25,2025-05-29,2025-06-25,2025,30948,Sudan: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://dtm.iom.int/sudan,"West Darfur State, Sudan","13.51222, 22.690571",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2025-07-11T15:24:00.435132Z,"Sudan: 7,960 displacements, 29 May - 25 June. According to IOM Displacement Tracking Matrix (IOM DTM), a total of 7960 people were displaced in West Darfur State, Sudan due to non-international armed conflict (niac) between 29 May and 25 June",https://dtm.iom.int/sudan,Conflict
187465,Sudan,SDN,11.26541,26.43845,"[11.26541, 26.43845]",Recommended figure,Conflict,total,100,2025-06-25,2025-05-29,2025-06-25,2025,30948,Sudan: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://dtm.iom.int/sudan,"East Darfur State, Sudan","11.26541, 26.43845",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2025-07-11T15:16:47.475309Z,"Sudan: 100 displacements, 29 May - 25 June. According to IOM Displacement Tracking Matrix (IOM DTM), a total of 100 people were displaced in East Darfur State, Sudan due to non-international armed conflict (niac) between 29 May and 25 June",https://dtm.iom.int/sudan,Conflict
187468,Sudan,SDN,15.93796,33.13726,"[15.93796, 33.13726]",Recommended figure,Conflict,total,82044,2025-06-25,2025-05-29,2025-06-25,2025,30948,Sudan: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://dtm.iom.int/sudan,"Khartoum State, Sudan","15.93796, 33.13726",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2025-07-11T15:19:56.813974Z,"Sudan: 82,044 displacements, 29 May - 25 June. A total of 82044 people were displaced due to non-international armed conflict (niac) between 29 May and 25 June in Khartoum State, Sudan, according to IOM Displacement Tracking Matrix (IOM DTM).",https://dtm.iom.int/sudan,Conflict
187469,Sudan,SDN,15.84944,25.504379,"[15.84944, 25.504379]",Recommended figure,Conflict,total,7426,2025-06-25,2025-05-29,2025-06-25,2025,30948,Sudan: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://dtm.iom.int/sudan,"North Darfur State, Sudan","15.84944, 25.504379",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2025-07-11T15:19:56.876883Z,"Sudan: 7,426 displacements, 29 May - 25 June. Non-international armed conflict (niac) resulted in a total of 7426 people being displaced in North Darfur State, Sudan between 29 May and 25 June, according to IOM Displacement Tracking Matrix (IOM DTM).",https://dtm.iom.int/sudan,Conflict
187470,Sudan,SDN,14.41693,29.46837,"[14.41693, 29.46837]",Recommended figure,Conflict,total,11418,2025-06-25,2025-05-29,2025-06-25,2025,30948,Sudan: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://dtm.iom.int/sudan,"North Kordofan State, Sudan","14.41693, 29.46837",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2025-07-11T15:19:56.933111Z,"Sudan: 11,418 displacements, 29 May - 25 June. Non-international armed conflict (niac) resulted in a total of 11418 people being displaced in North Kordofan State, Sudan between 29 May and 25 June, according to IOM Displacement Tracking Matrix (IOM DTM).",https://dtm.iom.int/sudan,Conflict
187471,Sudan,SDN,19.0,30.0,"[19, 30]",Recommended figure,Conflict,total,172,2025-06-25,2025-05-29,2025-06-25,2025,30948,Sudan: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://dtm.iom.int/sudan,"Northern State, Sudan","19, 30",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2025-07-11T15:19:56.991220Z,"Sudan: 172 displacements, 29 May - 25 June. Non-international armed conflict (niac) resulted in a total of 172 people being displaced in (Location) between 29 May and 25 June, according to IOM Displacement Tracking Matrix (IOM DTM).",https://dtm.iom.int/sudan,Conflict
187474,Sudan,SDN,20.0,36.0,"[20, 36]",Recommended figure,Conflict,total,69,2025-06-25,2025-05-29,2025-06-25,2025,30948,Sudan: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://dtm.iom.int/sudan,"Red Sea State, Sudan","20, 36",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2025-07-11T15:24:00.299290Z,"Sudan: 69 displacements, 29 May - 25 June. According to IOM Displacement Tracking Matrix (IOM DTM), a total of 69 people were displaced in Red Sea State, Sudan due to non-international armed conflict (niac) between 29 May and 25 June",https://dtm.iom.int/sudan,Conflict
187479,Sudan,SDN,12.5,32.5,"[12.5, 32.5]",Recommended figure,Conflict,total,5746,2025-06-25,2025-05-29,2025-06-25,2025,30948,Sudan: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://dtm.iom.int/sudan,"White Nile State, Sudan","12.5, 32.5",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2025-07-11T15:24:00.519215Z,"Sudan: 5,746 displacements, 29 May - 25 June. Non-international armed conflict (niac) resulted in a total of 5746 people being displaced in White Nile State, Sudan between 29 May and 25 June, according to IOM Displacement Tracking Matrix (IOM DTM).",https://dtm.iom.int/sudan,Conflict
